failure,rawReadErrorRate,spinUpTime,startStopCount,reallocatedSectors,seekErrorRate,powerOnHours,spinRetryCount,powerCycleCount,reportedUncorrect,loadCycleCount,temperature,pendingSectors,offlineUncorrectable,crcErrorCount,brand_HGST,brand_Other,brand_Seagate,brand_Toshiba,brand_WD
0,0.0,8240.0,43.0,0.0,0.0,28088.0,0.0,43.0,0.0,850.0,30.0,0.0,0.0,0.0,0,0,0,1,0
0,0.0,7867.0,10.0,0.0,0.0,36604.0,0.0,10.0,0.0,110.0,31.0,0.0,0.0,0.0,0,0,0,1,0
0,96808944.0,0.0,15.0,0.0,352977562.0,36230.0,0.0,15.0,0.0,2146.0,24.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,8269.0,1.0,0.0,0.0,3433.0,0.0,1.0,0.0,1.0,32.0,0.0,0.0,0.0,0,0,0,1,0
0,0.0,335.0,12.0,0.0,0.0,18341.0,0.0,12.0,0.0,1252.0,48.0,0.0,0.0,0.0,0,0,0,0,1
0,0.0,295.0,11.0,0.0,0.0,858.0,0.0,11.0,0.0,46.0,26.0,0.0,0.0,0.0,0,0,0,0,1
0,0.0,395.0,11.0,0.0,0.0,50111.0,0.0,11.0,0.0,2165.0,31.0,0.0,0.0,0.0,1,0,0,0,0
0,0.0,9644.0,16.0,0.0,0.0,2466.0,0.0,16.0,0.0,32.0,36.0,0.0,0.0,0.0,0,0,0,1,0
0,0.0,6192.0,10.0,0.0,0.0,8696.0,0.0,10.0,0.0,19.0,39.0,0.0,0.0,0.0,0,0,0,1,0
0,0.0,350.0,16.0,0.0,0.0,32373.0,0.0,16.0,0.0,1450.0,32.0,0.0,0.0,0.0,0,0,0,0,1
0,138530776.0,0.0,13.0,0.0,449928277.0,43053.0,0.0,12.0,0.0,1956.0,28.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,7939.0,3.0,0.0,0.0,31499.0,0.0,3.0,0.0,98.0,39.0,0.0,0.0,0.0,0,0,0,1,0
0,214217768.0,0.0,12.0,0.0,913887787.0,35615.0,0.0,12.0,0.0,1858.0,18.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,367.0,8.0,0.0,0.0,4310.0,0.0,8.0,0.0,264.0,37.0,0.0,0.0,0.0,0,0,0,0,1
0,177208704.0,0.0,20.0,0.0,111483454.0,42936.0,0.0,20.0,0.0,2118.0,35.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,7693.0,4.0,0.0,0.0,37019.0,0.0,4.0,0.0,8.0,25.0,0.0,0.0,0.0,0,0,0,1,0
